USAF,WBAN,YR--MODAHRMN,DIR,SPD,GUS,CLG,SKC,L,M,H,VSB,MW,MW,MW,MW,AW,AW,AW,AW,W,TEMP,DEWP,SLP,ALT,STP,MAX,MIN,PCP01,PCP06,PCP24,PCPXX,SD
028450,99999,201705010550,220,17,***,1,***,*,*,*,0.9,**,**,**,**,27,**,**,**,*,30,30,******,29.80,******,***,***,*****,*****,*****,*****,**
028450,99999,201705010600,216,11,18,***,***,*,*,*,1.8,**,**,**,**,67,**,**,**,8,31,30,1011.0,*****,985.8,34,31,*****,*****,*****,*****,35
028450,99999,201705010620,210,16,***,5,***,*,*,*,3.8,**,**,**,**,85,**,**,**,*,30,30,******,29.80,******,***,***,*****,*****,*****,*****,**
028450,99999,201705010650,220,17,***,13,***,*,*,*,5.6,**,**,**,**,85,**,**,**,*,30,30,******,29.83,******,***,***,*****,*****,*****,*****,**
028450,99999,201705010700,222,11,18,***,***,*,*,*,4.0,**,**,**,**,61,**,**,**,*,30,30,1011.8,*****,986.6,***,***,*****,*****,*****,*****,35
028450,99999,201705010720,220,20,***,8,***,*,*,*,6.2,**,**,**,**,71,**,**,**,*,30,28,******,29.83,******,***,***,*****,*****,*****,*****,**
028450,99999,201705010750,220,18,***,11,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,32,28,******,29.83,******,***,***,*****,*****,*****,*****,**
028450,99999,201705010800,210,13,19,***,***,*,*,*,16.4,**,**,**,**,23,**,**,**,*,32,30,1012.4,*****,987.2,***,***,*****,*****,*****,*****,35
028450,99999,201705010820,220,18,***,17,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,32,30,******,29.85,******,***,***,*****,*****,*****,*****,**
028450,99999,201705010850,220,16,***,17,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,34,28,******,29.85,******,***,***,*****,*****,*****,*****,**
028450,99999,201705010900,216,13,17,***,***,*,*,*,23.2,**,**,**,**,00,**,**,**,8,34,31,1012.4,*****,987.4,***,***,*****,*****,*****,*****,35
028450,99999,201705010920,210,16,***,26,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,34,30,******,29.85,******,***,***,*****,*****,*****,*****,**
028450,99999,201705010950,220,17,***,28,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,36,28,******,29.85,******,***,***,*****,*****,*****,*****,**
028450,99999,201705011000,216,16,24,***,***,*,*,*,23.4,**,**,**,**,00,**,**,**,*,37,29,1012.7,*****,987.8,***,***,*****,*****,*****,*****,35
028450,99999,201705011020,230,23,***,39,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,36,27,******,29.85,******,***,***,*****,*****,*****,*****,**
028450,99999,201705011050,230,20,***,37,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,37,27,******,29.88,******,***,***,*****,*****,*****,*****,**
028450,99999,201705011100,221,13,19,***,***,*,*,*,20.1,**,**,**,**,00,**,**,**,*,37,27,1013.3,*****,988.4,***,***,*****,*****,*****,*****,35
028450,99999,201705011120,210,17,***,37,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,37,27,******,29.88,******,***,***,*****,*****,*****,*****,**
028450,99999,201705011150,220,18,32,40,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,39,25,******,29.88,******,***,***,*****,*****,*****,*****,**
028450,99999,201705011200,216,14,24,***,***,*,*,*,27.4,**,**,**,**,00,**,**,**,8,40,25,1013.4,*****,988.6,***,***,*****,*****,*****,*****,35
028450,99999,201705011220,210,17,***,44,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,39,27,******,29.88,******,***,***,*****,*****,*****,*****,**
028450,99999,201705011250,210,24,***,43,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,39,28,******,29.88,******,***,***,*****,*****,*****,*****,**
028450,99999,201705011300,205,16,25,***,***,*,*,*,28.1,**,**,**,**,00,**,**,**,*,41,27,1013.2,*****,988.5,***,***,*****,*****,*****,*****,35
028450,99999,201705011320,220,21,***,42,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,39,28,******,29.88,******,***,***,*****,*****,*****,*****,**
028450,99999,201705011350,230,23,***,55,***,*,*,*,6.2,**,**,**,**,61,**,**,**,*,41,27,******,29.88,******,***,***,*****,*****,*****,*****,**
028450,99999,201705011400,234,13,22,***,***,*,*,*,18.2,**,**,**,**,52,**,**,**,*,41,27,1013.3,*****,988.6,***,***,*****,*****,*****,*****,35
028450,99999,201705011420,230,26,***,60,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,41,28,******,29.88,******,***,***,*****,*****,*****,*****,**
028450,99999,201705011450,220,16,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,41,28,******,29.88,******,***,***,*****,*****,*****,*****,**
028450,99999,201705011500,211,13,18,***,***,*,*,*,31.2,**,**,**,**,00,**,**,**,8,42,27,1013.2,*****,988.5,***,***,*****,*****,*****,*****,35
028450,99999,201705011520,220,14,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,43,27,******,29.88,******,***,***,*****,*****,*****,*****,**
028450,99999,201705011550,230,20,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,43,25,******,29.88,******,***,***,*****,*****,*****,*****,**
028450,99999,201705011600,229,15,24,***,***,*,*,*,31.2,**,**,**,**,00,**,**,**,*,44,24,1013.0,*****,988.5,***,***,*****,*****,*****,*****,35
028450,99999,201705011620,230,18,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,43,25,******,29.88,******,***,***,*****,*****,*****,*****,**
028450,99999,201705011650,240,20,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,43,25,******,29.88,******,***,***,*****,*****,*****,*****,**
028450,99999,201705011700,232,15,25,***,***,*,*,*,31.2,**,**,**,**,00,**,**,**,*,43,25,1013.3,*****,988.7,***,***,*****,*****,*****,*****,35
028450,99999,201705011720,240,18,30,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,43,25,******,29.88,******,***,***,*****,*****,*****,*****,**
028450,99999,201705011750,230,16,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,43,25,******,29.88,******,***,***,*****,*****,*****,*****,**
028450,99999,201705011800,229,15,23,***,***,*,*,*,31.2,**,**,**,**,00,**,**,**,8,42,26,1013.6,*****,988.9,44,30,*****,*****,*****,*****,34
028450,99999,201705011820,240,17,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,41,27,******,29.91,******,***,***,*****,*****,*****,*****,**
028450,99999,201705011850,240,16,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,41,27,******,29.91,******,***,***,*****,*****,*****,*****,**
028450,99999,201705011900,235,12,19,***,***,*,*,*,31.2,**,**,**,**,00,**,**,**,*,40,27,1014.1,*****,989.3,***,***,*****,*****,*****,*****,34
028450,99999,201705011920,240,16,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,39,27,******,29.91,******,***,***,*****,*****,*****,*****,**
028450,99999,201705011950,240,15,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,39,27,******,29.91,******,***,***,*****,*****,*****,*****,**
028450,99999,201705012000,233,10,15,***,***,*,*,*,31.2,**,**,**,**,00,**,**,**,*,38,27,1014.5,*****,989.7,***,***,*****,*****,*****,*****,35
028450,99999,201705012020,990,15,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,39,27,******,29.91,******,***,***,*****,*****,*****,*****,**
028450,99999,201705012050,240,17,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,37,27,******,29.91,******,***,***,*****,*****,*****,*****,**
028450,99999,201705012100,231,11,16,***,***,*,*,*,31.2,**,**,**,**,00,**,**,**,0,38,27,1014.8,*****,989.9,***,***,*****,*****,*****,*****,35
028450,99999,201705012120,230,16,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,37,28,******,29.91,******,***,***,*****,*****,*****,*****,**
028450,99999,201705012150,230,14,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,37,27,******,29.91,******,***,***,*****,*****,*****,*****,**
028450,99999,201705012200,231,10,15,***,***,*,*,*,31.2,**,**,**,**,00,**,**,**,*,37,27,1015.0,*****,990.0,***,***,*****,*****,*****,*****,35
028450,99999,201705012220,240,14,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,37,27,******,29.94,******,***,***,*****,*****,*****,*****,**
028450,99999,201705012250,230,13,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,36,28,******,29.94,******,***,***,*****,*****,*****,*****,**
028450,99999,201705012300,228,9,14,***,***,*,*,*,31.2,**,**,**,**,00,**,**,**,*,36,28,1015.2,*****,990.2,***,***,*****,*****,*****,*****,34
028450,99999,201705012320,230,14,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,36,28,******,29.94,******,***,***,*****,*****,*****,*****,**
028450,99999,201705012350,230,14,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,36,28,******,29.94,******,***,***,*****,*****,*****,*****,**
028450,99999,201705020000,225,9,13,***,***,*,*,*,31.2,**,**,**,**,00,**,**,**,0,36,28,1015.4,*****,990.4,***,***,*****,*****,*****,*****,34
028450,99999,201705020020,230,14,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,36,28,******,29.94,******,***,***,*****,*****,*****,*****,**
028450,99999,201705020050,230,13,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,36,27,******,29.94,******,***,***,*****,*****,*****,*****,**
028450,99999,201705020100,234,9,12,***,***,*,*,*,31.2,**,**,**,**,00,**,**,**,*,36,28,1015.6,*****,990.6,***,***,*****,*****,*****,*****,34
028450,99999,201705020120,250,11,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,36,27,******,29.94,******,***,***,*****,*****,*****,*****,**
028450,99999,201705020150,250,13,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,36,27,******,29.94,******,***,***,*****,*****,*****,*****,**
028450,99999,201705020200,243,8,13,***,***,*,*,*,31.2,**,**,**,**,00,**,**,**,*,36,27,1015.8,*****,990.8,***,***,*****,*****,*****,*****,34
028450,99999,201705020220,240,9,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,36,27,******,29.94,******,***,***,*****,*****,*****,*****,**
028450,99999,201705020250,250,13,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,37,27,******,29.94,******,***,***,*****,*****,*****,*****,**
028450,99999,201705020300,255,10,18,***,***,*,*,*,31.2,**,**,**,**,00,**,**,**,0,37,26,1016.0,*****,991.0,***,***,*****,*****,*****,*****,34
028450,99999,201705020320,260,13,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,37,27,******,29.97,******,***,***,*****,*****,*****,*****,**
028450,99999,201705020350,990,10,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,37,27,******,29.97,******,***,***,*****,*****,*****,*****,**
028450,99999,201705020400,264,10,17,***,***,*,*,*,31.2,**,**,**,**,00,**,**,**,*,38,27,1016.3,*****,991.3,***,***,*****,*****,*****,*****,34
028450,99999,201705020420,280,13,24,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,37,27,******,29.97,******,***,***,*****,*****,*****,*****,**
028450,99999,201705020450,280,13,***,***,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,39,27,******,29.97,******,***,***,*****,*****,*****,*****,**
028450,99999,201705020500,276,14,26,***,***,*,*,*,31.2,**,**,**,**,00,**,**,**,*,39,26,1016.5,*****,991.6,***,***,*****,*****,*****,*****,34
028450,99999,201705020520,280,16,***,***,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,39,27,******,29.97,******,***,***,*****,*****,*****,*****,**
028450,99999,201705020550,990,11,***,***,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,39,27,******,29.97,******,***,***,*****,*****,*****,*****,**
028450,99999,201705020600,286,16,25,722,SCT,*,*,*,31.2,03,**,**,**,**,**,**,**,0,41,26,1016.9,*****,992.1,42,35,*****,*****,*****,*****,34
028450,99999,201705020620,300,13,***,80,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,39,25,******,30.00,******,***,***,*****,*****,*****,*****,**
028450,99999,201705020650,990,13,24,***,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,41,27,******,30.00,******,***,***,*****,*****,*****,*****,**
028450,99999,201705020700,283,15,27,***,***,*,*,*,25.4,**,**,**,**,00,**,**,**,*,41,26,1017.5,*****,992.7,***,***,*****,*****,*****,*****,34
028450,99999,201705020720,300,13,***,***,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,41,25,******,30.00,******,***,***,*****,*****,*****,*****,**
028450,99999,201705020750,990,14,***,***,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,41,25,******,30.03,******,***,***,*****,*****,*****,*****,**
028450,99999,201705020800,288,16,25,***,***,*,*,*,31.2,**,**,**,**,00,**,**,**,*,43,25,1018.0,*****,993.2,***,***,*****,*****,*****,*****,34
028450,99999,201705020820,310,14,***,48,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,41,25,******,30.03,******,***,***,*****,*****,*****,*****,**
028450,99999,201705020850,300,15,***,48,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,41,25,******,30.03,******,***,***,*****,*****,*****,*****,**
028450,99999,201705020900,294,15,23,***,***,*,*,*,31.2,**,**,**,**,00,**,**,**,0,43,25,1018.7,*****,994.0,***,***,*****,*****,*****,*****,34
028450,99999,201705020920,310,15,***,200,***,*,*,*,6.2,83,**,**,**,**,**,**,**,*,43,25,******,30.06,******,***,***,*****,*****,*****,*****,**
028450,99999,201705020950,990,17,29,***,***,*,*,*,6.2,80,**,**,**,**,**,**,**,*,43,25,******,30.06,******,***,***,*****,*****,*****,*****,**
028450,99999,201705021000,284,17,27,***,***,*,*,*,29.7,**,**,**,**,00,**,**,**,*,45,24,1019.2,*****,994.5,***,***,*****,*****,*****,*****,34
028450,99999,201705021020,310,17,***,48,***,*,*,*,6.2,16,**,**,**,**,**,**,**,*,43,23,******,30.06,******,***,***,*****,*****,*****,*****,**
028450,99999,201705021050,300,17,***,48,***,*,*,*,6.2,80,**,**,**,**,**,**,**,*,41,25,******,30.09,******,***,***,*****,*****,*****,*****,**
028450,99999,201705021100,305,15,27,***,***,*,*,*,23.7,**,**,**,**,00,**,**,**,*,42,26,1020.2,*****,995.4,***,***,*****,*****,*****,*****,34
028450,99999,201705021120,990,15,***,48,***,*,*,*,6.2,16,**,**,**,**,**,**,**,*,43,25,******,30.09,******,***,***,*****,*****,*****,*****,**
028450,99999,201705021150,310,17,***,57,***,*,*,*,6.2,16,**,**,**,**,**,**,**,*,43,25,******,30.09,******,***,***,*****,*****,*****,*****,**
028450,99999,201705021200,298,16,25,***,BKN,*,*,*,31.2,15,**,**,**,**,**,**,**,8,44,24,1020.8,*****,996.1,***,***,*****,*****,*****,*****,34
028450,99999,201705021220,330,16,***,47,***,*,*,*,6.2,**,**,**,**,81,**,**,**,*,39,27,******,30.12,******,***,***,*****,*****,*****,*****,**
028450,99999,201705021250,320,17,***,39,***,*,*,*,6.2,**,**,**,**,81,**,**,**,*,37,30,******,30.15,******,***,***,*****,*****,*****,*****,**
028450,99999,201705021300,310,12,20,***,***,*,*,*,29.5,**,**,**,**,81,**,**,**,*,39,32,1022.0,*****,997.0,***,***,*****,*****,*****,*****,33
028450,99999,201705021320,310,11,23,55,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,41,28,******,30.15,******,***,***,*****,*****,*****,*****,**
028450,99999,201705021350,330,15,***,50,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,39,27,******,30.15,******,***,***,*****,*****,*****,*****,**
028450,99999,201705021400,322,17,28,***,***,*,*,*,31.2,**,**,**,**,00,**,**,**,*,40,27,1022.6,*****,997.6,***,***,*****,*****,*****,*****,33
028450,99999,201705021420,330,14,***,70,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,39,27,******,30.18,******,***,***,*****,*****,*****,*****,**
028450,99999,201705021450,330,14,***,50,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,39,27,******,30.18,******,***,***,*****,*****,*****,*****,**
028450,99999,201705021500,310,19,29,***,***,*,*,*,13.5,**,**,**,**,80,**,**,**,8,40,27,1023.6,*****,998.6,***,***,*****,*****,*****,*****,33
028450,99999,201705021520,330,16,***,40,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,39,27,******,30.18,******,***,***,*****,*****,*****,*****,**
028450,99999,201705021550,330,14,***,***,***,*,*,*,6.2,**,**,**,**,41,**,**,**,*,39,28,******,30.21,******,***,***,*****,*****,*****,*****,**
028450,99999,201705021600,319,15,23,***,***,*,*,*,31.2,**,**,**,**,00,**,**,**,*,38,28,1024.4,*****,999.3,***,***,*****,*****,*****,*****,33
028450,99999,201705021620,330,14,***,32,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,37,28,******,30.21,******,***,***,*****,*****,*****,*****,**
028450,99999,201705021650,340,13,***,50,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,37,28,******,30.21,******,***,***,*****,*****,*****,*****,**
028450,99999,201705021700,327,9,21,***,***,*,*,*,31.2,**,**,**,**,22,**,**,**,*,38,28,1025.0,*****,999.9,***,***,*****,*****,*****,*****,33
028450,99999,201705021720,340,15,***,46,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,37,28,******,30.24,******,***,***,*****,*****,*****,*****,**
028450,99999,201705021750,340,14,***,48,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,36,28,******,30.24,******,***,***,*****,*****,*****,*****,**
028450,99999,201705021800,318,11,23,***,***,*,*,*,31.2,**,**,**,**,00,**,**,**,8,37,27,1025.7,*****,1000.5,45,36,*****,*****,*****,*****,33
028450,99999,201705021820,330,14,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,36,25,******,30.24,******,***,***,*****,*****,*****,*****,**
028450,99999,201705021850,340,17,30,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,36,23,******,30.27,******,***,***,*****,*****,*****,*****,**
028450,99999,201705021900,325,14,25,***,***,*,*,*,31.2,**,**,**,**,00,**,**,**,*,36,24,1026.3,*****,1001.0,***,***,*****,*****,*****,*****,33
028450,99999,201705021920,330,11,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,36,25,******,30.27,******,***,***,*****,*****,*****,*****,**
028450,99999,201705021950,330,10,***,41,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,36,25,******,30.27,******,***,***,*****,*****,*****,*****,**
028450,99999,201705022000,311,11,18,***,***,*,*,*,30.2,**,**,**,**,00,**,**,**,*,36,24,1027.0,*****,1001.7,***,***,*****,*****,*****,*****,33
028450,99999,201705022020,330,13,***,41,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,36,25,******,30.30,******,***,***,*****,*****,*****,*****,**
028450,99999,201705022050,330,10,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,34,25,******,30.30,******,***,***,*****,*****,*****,*****,**
028450,99999,201705022100,305,10,15,***,***,*,*,*,31.2,**,**,**,**,00,**,**,**,0,35,24,1027.6,*****,1002.2,***,***,*****,*****,*****,*****,33
028450,99999,201705022120,320,11,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,34,25,******,30.30,******,***,***,*****,*****,*****,*****,**
028450,99999,201705022150,320,10,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,34,23,******,30.30,******,***,***,*****,*****,*****,*****,**
028450,99999,201705022200,311,11,21,***,***,*,*,*,31.2,**,**,**,**,00,**,**,**,*,34,24,1028.1,*****,1002.6,***,***,*****,*****,*****,*****,33
028450,99999,201705022220,330,11,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,34,23,******,30.30,******,***,***,*****,*****,*****,*****,**
028450,99999,201705022250,340,9,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,34,25,******,30.30,******,***,***,*****,*****,*****,*****,**
028450,99999,201705022300,306,8,13,***,***,*,*,*,31.2,**,**,**,**,00,**,**,**,*,33,24,1028.3,*****,1002.8,***,***,*****,*****,*****,*****,33
028450,99999,201705022320,330,10,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,34,25,******,30.33,******,***,***,*****,*****,*****,*****,**
028450,99999,201705022350,320,8,***,55,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,34,25,******,30.33,******,***,***,*****,*****,*****,*****,**
028450,99999,201705030000,302,8,13,***,***,*,*,*,31.2,**,**,**,**,00,**,**,**,0,34,25,1028.7,*****,1003.2,***,***,*****,*****,*****,*****,33
028450,99999,201705030020,320,9,***,55,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,36,27,******,30.33,******,***,***,*****,*****,*****,*****,**
028450,99999,201705030050,310,9,***,55,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,36,27,******,30.33,******,***,***,*****,*****,*****,*****,**
028450,99999,201705030100,295,9,15,***,***,*,*,*,31.2,**,**,**,**,00,**,**,**,*,35,27,1028.8,*****,1003.4,***,***,*****,*****,*****,*****,33
028450,99999,201705030120,320,9,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,36,27,******,30.33,******,***,***,*****,*****,*****,*****,**
028450,99999,201705030150,320,9,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,36,27,******,30.33,******,***,***,*****,*****,*****,*****,**
028450,99999,201705030200,306,10,16,***,***,*,*,*,31.2,**,**,**,**,00,**,**,**,*,35,27,1029.1,*****,1003.7,***,***,*****,*****,*****,*****,33
028450,99999,201705030220,330,9,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,36,27,******,30.36,******,***,***,*****,*****,*****,*****,**
028450,99999,201705030250,330,10,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,36,27,******,30.36,******,***,***,*****,*****,*****,*****,**
028450,99999,201705030300,312,11,20,***,***,*,*,*,31.2,**,**,**,**,00,**,**,**,0,36,27,1029.6,*****,1004.2,***,***,*****,*****,*****,*****,33
028450,99999,201705030320,990,10,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,36,27,******,30.36,******,***,***,*****,*****,*****,*****,**
028450,99999,201705030400,314,11,16,***,***,*,*,*,31.2,**,**,**,**,00,**,**,**,*,36,27,1029.9,*****,1004.5,***,***,*****,*****,*****,*****,33
028450,99999,201705030420,330,10,***,52,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,36,27,******,30.36,******,***,***,*****,*****,*****,*****,**
028450,99999,201705030450,330,11,***,53,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,36,27,******,30.39,******,***,***,*****,*****,*****,*****,**
028450,99999,201705030500,313,12,19,***,***,*,*,*,31.2,**,**,**,**,00,**,**,**,*,36,27,1030.6,*****,1005.2,***,***,*****,*****,*****,*****,33
028450,99999,201705030520,330,13,***,53,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,36,27,******,30.39,******,***,***,*****,*****,*****,*****,**
028450,99999,201705030550,340,10,***,49,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,36,27,******,30.39,******,***,***,*****,*****,*****,*****,**
028450,99999,201705030600,324,9,15,***,BKN,*,*,*,31.2,15,**,**,**,**,**,**,**,2,37,27,1031.2,*****,1005.9,37,33,*****,*****,*****,*****,33
028450,99999,201705030620,340,13,***,49,***,*,*,*,6.2,16,**,**,**,**,**,**,**,*,37,27,******,30.42,******,***,***,*****,*****,*****,*****,**
028450,99999,201705030650,340,11,***,27,***,*,*,*,6.2,16,**,**,**,**,**,**,**,*,37,27,******,30.42,******,***,***,*****,*****,*****,*****,**
028450,99999,201705030700,331,11,20,***,***,*,*,*,28.0,**,**,**,**,00,**,**,**,*,37,27,1031.8,*****,1006.5,***,***,*****,*****,*****,*****,33
028450,99999,201705030720,340,11,***,28,***,*,*,*,6.2,16,**,**,**,**,**,**,**,*,37,27,******,30.42,******,***,***,*****,*****,*****,*****,**
028450,99999,201705030750,330,13,***,34,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,37,28,******,30.45,******,***,***,*****,*****,*****,*****,**
028450,99999,201705030800,320,10,16,***,***,*,*,*,29.2,**,**,**,**,00,**,**,**,*,38,27,1032.6,*****,1007.3,***,***,*****,*****,*****,*****,33
028450,99999,201705030820,330,10,***,34,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,37,27,******,30.45,******,***,***,*****,*****,*****,*****,**
028450,99999,201705030850,340,13,***,38,***,*,*,*,6.2,**,**,**,**,**,**,**,**,*,37,27,******,30.45,******,***,***,*****,*****,*****,*****,**
028450,99999,201705030900,334,10,18,***,***,*,*,*,24.9,**,**,**,**,00,**,**,**,0,39,25,1033.3,*****,1008.0,***,***,*****,*****,*****,*****,33
